date,nav_pre,nav,ret,turnover,fee_cost,slippage_cost,total_cost,gross_trade_notional,weights,n_positions,top_asset,top_weight
2004-02-12 00:00:00,1016101.9367743289,1016101.9367743289,-0.0009680085245095116,0.0,0.0,0.0,0.0,0.0,"{'AGG': 0.5970354807366102, 'SHY': 0.14781012971967056, 'TLT': 0.2551543895437193}",3,AGG,0.5970354807366102
2004-02-13 00:00:00,1020125.9361487293,1020125.9361487293,0.003960231969613925,0.0,0.0,0.0,0.0,0.0,"{'AGG': 0.5973358035587042, 'SHY': 0.1474408557386056, 'TLT': 0.2552233407026902}",3,AGG,0.5973358035587042
2004-02-17 00:00:00,1018348.3919123319,1018348.3919123319,-0.0017424752899707352,0.0,0.0,0.0,0.0,0.0,"{'AGG': 0.596932510493637, 'SHY': 0.14757333971170591, 'TLT': 0.25549414979465707}",3,AGG,0.596932510493637
2004-02-18 00:00:00,1018251.6011532875,1018251.6011532875,-9.504680305205682e-05,0.0,0.0,0.0,0.0,0.0,"{'AGG': 0.5965271589512315, 'SHY': 0.14760511231485557, 'TLT': 0.255867728733913}",3,AGG,0.5965271589512315
2004-02-19 00:00:00,1019238.1370830775,1019238.1370830775,0.0009688528146409858,0.0,0.0,0.0,0.0,0.0,"{'AGG': 0.5965845907617463, 'SHY': 0.14753354770527718, 'TLT': 0.2558818615329765}",3,AGG,0.5965845907617463
2004-02-20 00:00:00,1015381.944717228,1015381.944717228,-0.003783406669696898,0.0,0.0,0.0,0.0,0.0,"{'AGG': 0.5969948914558656, 'SHY': 0.14793278670628313, 'TLT': 0.2550723218378513}",3,AGG,0.5969948914558656
2004-02-23 00:00:00,1018777.3239853336,1018777.3239853336,0.003343942922927612,0.0,0.0,0.0,0.0,0.0,"{'AGG': 0.5966235102473542, 'SHY': 0.14758249247438684, 'TLT': 0.2557939972782589}",3,AGG,0.5966235102473542
2004-02-24 00:00:00,1018739.6880291665,1018739.6880291665,-3.694227902495406e-05,0.0,0.0,0.0,0.0,0.0,"{'AGG': 0.5961251961139876, 'SHY': 0.14760573293388654, 'TLT': 0.2562690709521259}",3,AGG,0.5961251961139876
2004-02-25 00:00:00,1020677.2436432649,1020677.2436432649,0.0019019143328427024,0.0,0.0,0.0,0.0,0.0,"{'AGG': 0.5963785203070106, 'SHY': 0.14743241091257742, 'TLT': 0.256189068780412}",3,AGG,0.5963785203070106
2004-02-26 00:00:00,1018791.66318782,1018791.66318782,-0.0018473816940547394,0.0,0.0,0.0,0.0,0.0,"{'AGG': 0.5964995836986671, 'SHY': 0.14765176150654924, 'TLT': 0.25584865479478375}",3,AGG,0.5964995836986671
